tag,rsi_per,ob,os_,macro_ema,exp_m,payout,be,is_trades,is_wr,is_wlow,is_profit,is_dd,oos_trades,oos_wr,oos_wlow,oos_profit,oos_dd,veredito
RSI21 25/75 EMA50 exp30m,21,75,25,50,30,0.9,0.5263,6,0.5,0.1876,-14.66,0.0396,3,1.0,0.4385,54.98,0.0,FAIL
RSI21 20/80 EMA50 exp15m,21,80,20,50,15,0.87,0.5348,1,0.0,0.0,-20.0,0.02,0,0.0,0.0,0.0,0.0,FAIL
RSI21 20/80 EMA50 exp30m,21,80,20,50,30,0.87,0.5348,1,0.0,0.0,-20.0,0.02,0,0.0,0.0,0.0,0.0,FAIL
RSI21 20/80 EMA50 exp60m,21,80,20,50,60,0.87,0.5348,1,0.0,0.0,-20.0,0.02,0,0.0,0.0,0.0,0.0,FAIL
RSI21 20/80 EMA50 exp15m,21,80,20,50,15,0.9,0.5263,1,0.0,0.0,-20.0,0.02,0,0.0,0.0,0.0,0.0,FAIL
RSI21 20/80 EMA50 exp30m,21,80,20,50,30,0.9,0.5263,1,0.0,0.0,-20.0,0.02,0,0.0,0.0,0.0,0.0,FAIL
RSI21 20/80 EMA50 exp60m,21,80,20,50,60,0.9,0.5263,1,0.0,0.0,-20.0,0.02,0,0.0,0.0,0.0,0.0,FAIL
RSI10 20/80 noMacro exp60m,10,80,20,None,60,0.9,0.5263,188,0.5426,0.4712,-22.11,0.2182,85,0.5176,0.413,-104.07,0.1388,FAIL
RSI21 25/75 EMA50 exp15m,21,75,25,50,15,0.87,0.5348,6,0.5,0.1876,-22.2,0.0396,3,1.0,0.4385,53.11,0.0,FAIL
RSI21 25/75 EMA50 exp30m,21,75,25,50,30,0.87,0.5348,6,0.5,0.1876,-22.2,0.0396,3,1.0,0.4385,53.11,0.0,FAIL
RSI7 20/80 EMA50 exp60m,7,80,20,50,60,0.87,0.5348,99,0.5253,0.4278,-23.96,0.1678,46,0.5,0.3612,-41.44,0.0505,FAIL
RSI14 25/75 EMA50 exp15m,14,75,25,50,15,0.87,0.5348,51,0.4902,0.3586,-28.07,0.0644,16,0.5,0.28,-50.1,0.0518,FAIL
RSI14 20/80 EMA50 exp15m,14,80,20,50,15,0.87,0.5348,4,0.25,0.0456,-35.23,0.0352,3,1.0,0.4385,53.11,0.0,FAIL
RSI14 20/80 EMA50 exp30m,14,80,20,50,30,0.87,0.5348,4,0.25,0.0456,-35.23,0.0352,3,0.6667,0.2077,14.4,0.02,FAIL
RSI14 20/80 EMA50 exp60m,14,80,20,50,60,0.87,0.5348,4,0.25,0.0456,-35.23,0.0352,3,0.0,0.0,-30.28,0.0303,FAIL
RSI7 30/70 EMA50 exp60m,7,70,30,50,60,0.87,0.5348,514,0.5545,0.5113,-36.92,0.2338,235,0.5021,0.4387,-213.9,0.2285,FAIL
RSI14 25/75 EMA50 exp15m,14,75,25,50,15,0.9,0.5263,51,0.4902,0.3586,-37.89,0.0751,16,0.5,0.28,-60.46,0.0636,FAIL
